image,title,author,rating,genre,top_seller,price,release_date,publisher,description,comments
dotnetcore.jpg,.Net Core Web Development,Miguel Alonso,5,Software Development,TRUE,59.25,11/28/2016 0:00,Pearson,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. ",Awesome book!| A magnus Opus| I'm in awe| The author is so cute
coders-at-work.jpg,Coders at Work: Reflections on the Craft of Programming,Peter Seibel,5,Software Development,,25.25,10/28/2010 0:00,Boulder Books,"Coders at Work is a book that goes beyond the tangible skills of programming and instead dives into the lives of famous programmers. This book is packed with interviews from 15 different accomplished programmers, the projects they worked on, and the stories behind those famous projects. If youï¿½re looking for inspiration and a behind-the-scenes look at how different programmers think and work, then this is a book worth picking up.",our book will help me and my colleagues to smarten up a lot|very helpfulï¿½| I'm in awe| I found this book incredibly refreshing and honestï¿½
pragmatic.jpg,The Pragmatic Programmer: From Journeyman to Master,Thomas Hunt,4,Software Development,,59.25,11/28/2016 0:00,Allen & Unwin,"This is another classic book that stands the test of time. If youï¿½re looking for a book thatï¿½ll help you make the transition from a programmer to something much more, then you should read this book.",Made me miss my tube stop | A magnus Opus| an invaluable resource| t really is great
clean-code.jpg,Clean Code: A Handbook of Agile Software Craftsmanship,Jon Bently,,Software Development,,87.25,1/28/2014 0:00,Artech House,"Sure, even bad code can function. But, poorly written code can bring the project to its knees. This is why having clean code is the utmost importance. In Clean Code, Robert Martin has teamed up with his colleagues from Object Mentor to share the best tips and examples to help you become a better programmer.","The ideas in this book and its analytical approach have inspired me, and I would recommend the book to anyone involved in fundraising, sponsorship or funding applications.| A magnus Opus| I'm in awe| Excellent book"
programming-pearls.jfif,Programming Pearls,Jon Bently,5,Software Development,,59.25,11/28/2016 0:00,Apress,"Programming Pearls is another classic programming book that will help you understand the basics of problem-solving. This book focuses on problems that irritate most programmers and offers helpful ways to work through them.
If youï¿½re looking to grow your understanding of algorithms, algorithm design, and prep your mind with innovative approaches to common problems, then this is a must read.",it is hard to imagine a better investment of money and time than buying and reading this bookï¿½| A magnus Opus| I'm in awe| The author is so cute
hidden-lang.jpg,Code: The Hidden Language of Computer Hardware and Software,Charles Petzold,,Software Development,,45.25,11/28/2018 0:00,Wiley,"Code isnï¿½t explicitly a programming book, but itï¿½s all about how computers work on the lowest level. Remember, itï¿½s important to build an overarching perspective surrounding the work youï¿½re doing.",Awesome book!| A magnus Opus|was a surprise| really clear and it is well written
working-with-legacy-code.jpg,Working Effectively with Legacy Code,Michael Feathers,3,Software Development,,59.25,5/28/2016 0:00,Brush Education,"Unless youï¿½re only working on development projects that start at ground zero, youï¿½ll probably run into lots of legacy code throughout your career. If youï¿½re working with existing code thatï¿½s over 5 years old, then youï¿½ll find value in this book.",Youï¿½ve been waiting for this| A magnus Opus| I'm in awe| The author is so cute
clean-coder.jpg,The Clean Coder: A Code of Conduct for Professional Programmers ,Robert C Martin,,Software Development,FALSE,59.25,11/28/2017 0:00,Douglas & McIntyre,"This book written by legendary software expert Robert C Martin will help to guide you through your career as a professional developer. It introduces techniques, tools, disciplines, and practices to become a true software craftsman.",refreshingly rigorous ï¿½ long overdue| the indispensable guide| I'm in awe| The author is so cute
passionate-programmer.jpg,The Passionate Programmer: Creating a Remarkable Career in Software Development,Chad Fowler,2,Software Development,,100.25,6/28/2011 0:00,Sage Publishing,"This book is filled with all kinds of wisdom related to creating a lifelong career in software development. It shows you how to increase your skillset, maximize your time, and continue to push your career forward.
If youï¿½re serious about a lifelong career in programming, then youï¿½ll want this book to help you guide you towards a career thatï¿½s both challenging and meaningful.",Your book very annoying.|a wealth of great adviceï¿½ clear| I'm in awe| provides great advice
solid-code.jpg,Writing Solid Code,teve Maguire,,Software Development,,18.25,11/28/2016 0:00,Emerald Group Publishing,"With the increasing complexity of software, itï¿½s becoming more important to produce bug-free code as early in the development cycle as possible. This book, written by a former senior level Microsoft developer, examines all kinds of typical development mistakes and how to avoid them.

This book will help you to unlock the answer to writing bug-free code, an indispensable skill in todayï¿½s development environment.","Inspiring, engaging and very useful!| A magnus Opus| I'm in awe|  methodical and respectful approach "
relational-model.jfif,The Relational Model for Database Management,EF Codd,,Software Development,,18.25,11/29/2016 0:00,Emerald Group Publishing,"This book was written by the originator of the relational model and covers all of the practical elements regarding designing relational databases. In order for a database to be truly relational, it needs to follow the twelve principles outlined in this book.",
1.jpg,Introduction to Algorithms,Cormen,1,Software Development,,18.25,11/30/2016 0:00,Emerald Group Publishing,"This book is widely considered one of the best books on learning algorithms. If you’re interested in understanding and writing algorithms, then this is an incredible starter book. It manages to go in-depth, while at the same time remaining accessible to all types of readers.",
1.jpg,"Compilers: Principles, Techniques, and Tools",Aho,,Software Development,,18.25,12/1/2016 0:00,Emerald Group Publishing,"This book should be read based upon the cover alone and has been affectionally named “The Dragon Book.” But, if that doesn’t hook you, then get ready to dive into the awesome world of compilers. In this edition, the author’s will teach you everything you need to know about compilers, from both a theoretical and practical perspective.",
1.jpg,Algorithms,Sedgewick,3,Software Development,,18.25,12/2/2016 0:00,Emerald Group Publishing,"This book is the leading textbook on algorithms. It offers a survey of the most important algorithms currently in use and provides incredible foundational knowledge.

Currently, on its 4th edition, it’s an indispensable source of wisdom for programmers of all levels looking to grow their knowledge about algorithms.","Inspiring, engaging and very useful!| A magnus Opus| I'm in awe|  methodical and respectful approach "
1.jpg,Foundations of Security: What Every Programmer Needs to Know,Kern,,Software Development,,18.25,12/3/2016 0:00,Emerald Group Publishing,"
Security should be a core focus as you’re writing new programs and apps. This book offers developers a clear guide on best secure coding practices.","Inspiring, engaging and very useful!| A magnus Opus| I'm in awe|  methodical and respectful approach "
1.jpg,How to Design Programs: An Introduction to Programming and Computing,Felleisen,,Software Development,,18.25,12/4/2016 0:00,Emerald Group Publishing,"This introductory book focuses on the process of program design. It’s written for programmers and non-programmers alike, so it’s very accessible to all readers.

It will guide you through the process of analyzing a problem statement, formulating goals, outlining the solution, finishing your program, and finally testing it. The text is very engaging and will help you grasp the basics of program design.","Inspiring, engaging and very useful!| A magnus Opus| I'm in awe|  methodical and respectful approach "
1.jpg,Software Requirements,Wiegers and Beatty,2,Software Development,,18.25,12/5/2016 0:00,Emerald Group Publishing,"This book is the classic guide to software requirements and is now in its third edition. It offers an up-to-date set of practices, which cover a full range of software development requirements for a wide range of projects.

Software Requirements goes into extreme depth and provides countless techniques, case studies, best practices, and insights from decades in the field.","Inspiring, engaging and very useful!| A magnus Opus| I'm in awe|  methodical and respectful approach "
1.jpg,"Enterprise Integration Patterns: Designing, Building, and Deploying Messaging Solutions",Hohpe and Woolf,,Software Development,,18.25,12/6/2016 0:00,Emerald Group Publishing,"
Enterprise Integration Patterns is an invaluable catalog of sixty-five different patterns, which help to understand and design effective messaging solutions. Let this book help you design effective messaging systems for your enterprise.

It also covers a variety of integration solutions, like, MSMQ, JMS, Microsoft BizTalk, SOAP, and XSL.","Inspiring, engaging and very useful!| A magnus Opus| I'm in awe|  methodical and respectful approach "
1.jpg,Patterns of Enterprise Application Architecture,Martin Fowler,,Software Development,,18.25,12/7/2016 0:00,Emerald Group Publishing,"In this book, Martin Fowler guides you through building and designing an enterprise application from start to finish. If you’re building a large-scale application, then you’ll surely come across some of the patterns presented in this book. This book will help you avoid common enterprise application failures by illuminating lessons that experienced object developers have learned.

If you’re doing any kind of enterprise application development, then you’ll find this book indispensable.","Inspiring, engaging and very useful!| A magnus Opus| I'm in awe|  methodical and respectful approach "
1.jpg,Peopleware: Productive Projects and Teams,DeMarco and Lister,,Software Development,,18.25,12/8/2016 0:00,Emerald Group Publishing,"Peopleware was written for programmers who are aspiring to be team leaders. The insights it offers into leadership and team management will not only help you manage people better but help you deploy better software.

Treating people like humans, not just numbers or skills, can help you advance your career in new ways. This book will show you how to do it effectively.","Inspiring, engaging and very useful!| A magnus Opus| I'm in awe|  methodical and respectful approach "
1.jpg,Software Estimation: Demystifying the Black Art,Steve McConnell,,Software Development,,18.25,12/9/2016 0:00,Emerald Group Publishing,"Software estimation is often referred to as the “black art” because of its uncertainty and complexity. This book helps to illuminate the process of software estimation and offers a straightforward approach.

With this book, you’ll learn how to estimate time and cost, avoid common estimation mistakes, and develop your own custom-tailored estimation approach for you and your team.","Inspiring, engaging and very useful!| A magnus Opus| I'm in awe|  methodical and respectful approach "
1.jpg,Collaboration Explained: Facilitation Skills for Software Project Leaders,Jean Tabaka,,Software Development,,18.25,12/10/2016 0:00,Emerald Group Publishing,"This book will help agile leaders better understand and manage their teams. For agile development to succeed you need outstanding collaboration amongst all of its stakeholders. And it’s not magic either, it takes careful planning and execution. Which is what this book is all about.

You’ll learn effective methods from start to finish about how to maintain effective collaboration in an agile development environment.","Inspiring, engaging and very useful!| A magnus Opus| I'm in awe|  methodical and respectful approach "
1.jpg,Rework,Freid and Hansson,,Software Development,,18.25,12/11/2016 0:00,Emerald Group Publishing,"Rework is a business book from the team 37 Signals. This book helps to elucidate the surprising principles behind the success of their company.

The ideas in this book will help you rethink how you do business and how you approach your work. It’s very straightforward and will surely provide you with the dose of inspiration you need.","Inspiring, engaging and very useful!| A magnus Opus| I'm in awe|  methodical and respectful approach "
